buf_mib,trial,total_us
1,0,20282.785
1,1,3552.455
1,2,3567.142
1,3,3545.301
1,4,3521.196
1,5,3528.941
1,6,3513.362
1,7,3478.837
1,8,3521.858
1,9,3593.161
4,0,4341.492
4,1,4081.977
4,2,4006.996
4,3,3913.862
4,4,3886.932
4,5,3982.019
4,6,4074.443
4,7,3991.227
4,8,4004.422
4,9,3973.493
16,0,12511.576
16,1,12713.175
16,2,12471.632
16,3,12622.535
16,4,12631.091
16,5,12820.025
16,6,12716.401
16,7,12559.367
16,8,12593.881
16,9,12880.818
64,0,40090.859
64,1,40158.726
64,2,40336.169
64,3,40217.547
64,4,40049.001
64,5,40060.292
64,6,40235.901
64,7,40222.937
64,8,40362.288
64,9,40088.816
256,0,146679.876
256,1,146280.548
256,2,164039.665
256,3,145487.372
256,4,145244.246
256,5,145924.812
256,6,145499.755
256,7,145700.611
256,8,145407.141
256,9,146391.495
