buf_mib,loss_pct,trial,mask_us,throughput_gibps
1,0,0,3.675,265.7312925170068
1,0,1,1.402,696.5495720399429
1,0,2,1.353,721.7756836659275
1,0,3,1.233,792.0214922952149
1,0,4,1.27,768.9468503937009
1,0,5,1.252,780.0019968051118
1,0,6,1.24,787.5504032258065
1,0,7,1.245,784.3875502008033
1,0,8,1.26,775.0496031746031
1,0,9,1.226,796.5436378466558
1,0,10,1.251,780.6254996003198
1,0,11,1.254,778.7579744816587
1,0,12,1.261,774.4349722442505
1,0,13,1.266,771.3763823064771
1,0,14,1.277,764.731793265466
1,0,15,1.254,778.7579744816587
1,0,16,1.291,756.4388071262587
1,0,17,1.252,780.0019968051118
1,0,18,1.264,772.596914556962
1,0,19,1.259,775.6652104845116
1,1,0,1.439,678.639680333565
1,1,1,2.079,469.7270322270322
1,1,2,1.279,763.5359655981235
1,1,3,1.288,758.200698757764
1,1,4,1.258,776.2817965023847
1,1,5,1.268,770.1597003154575
1,1,6,1.279,763.5359655981235
1,1,7,1.274,766.5325745682889
1,1,8,2.918,334.6684372858122
1,1,9,1.301,750.6245196003075
1,1,10,1.946,501.83067831449125
1,1,11,1.27,768.9468503937009
1,1,12,1.294,754.6850850077279
1,1,13,3.763,259.51700770661705
1,1,14,1.973,494.9632539280284
1,1,15,1.301,750.6245196003075
1,1,16,1.285,759.9708171206225
1,1,17,2.028,481.53969428007895
1,1,18,1.301,750.6245196003075
1,1,19,2.749,355.24281556929793
1,10,0,7.297,133.83068384267509
1,10,1,8.66,112.7670323325635
1,10,2,6.713,145.47333531952927
1,10,3,8.451,115.5558513785351
1,10,4,7.71,126.66180285343708
1,10,5,5.888,165.85640285326087
1,10,6,5.174,188.74420177812138
1,10,7,8.35,116.95359281437126
1,10,8,4.195,232.79201430274136
1,10,9,4.169,234.24382345886303
1,10,10,5.117,190.84668751221417
1,10,11,6.455,151.28776142525174
1,10,12,4.112,237.49088035019457
1,10,13,7.87,124.08672172808133
1,10,14,7.255,134.60544452102
1,10,15,3.375,289.35185185185185
1,10,16,2.665,366.43996247654786
1,10,17,4.072,239.82379666011786
1,10,18,7.5,130.20833333333334
1,10,19,4.134,236.22701983551042
16,0,0,3.246,4813.616759088109
16,0,1,2.339,6680.205215904232
16,0,2,2.284,6841.06830122592
16,0,3,2.257,6922.906513070447
16,0,4,2.269,6886.293521375056
16,0,5,2.27,6883.2599118942735
16,0,6,2.262,6907.60389036251
16,0,7,2.26,6913.716814159292
16,0,8,2.287,6832.094446873634
16,0,9,2.253,6935.197514425211
16,0,10,2.267,6892.368769298632
16,0,11,2.251,6941.359395824078
16,0,12,2.285,6838.074398249452
16,0,13,2.279,6856.077226853883
16,0,14,2.261,6910.659000442282
16,0,15,2.262,6907.60389036251
16,0,16,2.268,6889.329805996472
16,0,17,2.256,6925.975177304964
16,0,18,2.27,6883.2599118942735
16,0,19,2.27,6883.2599118942735
16,1,0,13.716,1139.1805191017788
16,1,1,8.283,1886.393818664735
16,1,2,15.171,1029.9255157866983
16,1,3,29.139,536.2229314664196
16,1,4,11.035,1415.9492523787947
16,1,5,16.237,962.3083081850095
16,1,6,26.132,597.9259145874789
16,1,7,11.808,1323.2554200542006
16,1,8,20.274,770.6915260925323
16,1,9,25.57,611.0676574110286
16,1,10,20.069,778.5639543574667
16,1,11,12.57,1243.0389817024661
16,1,12,22.117,706.470136094407
16,1,13,13.457,1161.1057442223378
16,1,14,17.553,890.1612260012533
16,1,15,20.425,764.9938800489597
16,1,16,23.909,653.5195951315404
16,1,17,14.626,1068.3030220155886
16,1,18,24.107,648.1519890488239
16,1,19,11.94,1308.6264656616415
16,10,0,161.419,96.79777473531617
16,10,1,156.006,100.15640424086253
16,10,2,155.798,100.29011925698661
16,10,3,142.282,109.81712374017795
16,10,4,150.05,104.13195601466178
16,10,5,158.382,98.65388743670367
16,10,6,141.273,110.60145958534186
16,10,7,135.505,115.30939817718902
16,10,8,131.86,118.49689064158956
16,10,9,128.411,121.67960688726045
16,10,10,127.266,122.77434664403688
16,10,11,146.736,106.48375313488168
16,10,12,146.151,106.9099766679667
16,10,13,134.441,116.2219858525301
16,10,14,119.456,130.80129922314492
16,10,15,125.419,124.58239979588419
16,10,16,135.794,115.06399399089797
16,10,17,114.625,136.31406761177755
16,10,18,123.018,127.01393292038564
16,10,19,132.152,118.23506265512441
256,0,0,21.468,11645.239426122602
256,0,1,18.909,13221.217409699084
256,0,2,19.367,12908.555790778128
256,0,3,18.322,13644.798602772624
256,0,4,18.385,13598.041881968995
256,0,5,18.28,13676.148796498905
256,0,6,18.098,13813.681069731463
256,0,7,18.272,13682.13660245184
256,0,8,18.255,13694.87811558477
256,0,9,18.287,13670.913763875978
256,0,10,18.207,13730.982589114077
256,0,11,18.167,13761.215390543292
256,0,12,18.206,13731.736790069206
256,0,13,18.225,13717.421124828534
256,0,14,18.2,13736.263736263738
256,0,15,18.691,13375.42132577176
256,0,16,18.402,13585.479839147918
256,0,17,18.228,13715.163484748738
256,0,18,18.229,13714.411103187229
256,0,19,18.177,13753.644715849701
256,1,0,434.779,575.0047725396121
256,1,1,456.699,547.4064974961626
256,1,2,381.56,655.204948107768
256,1,3,441.553,566.1834479666087
256,1,4,1020.422,244.99667784504842
256,1,5,1111.166,224.98888554905386
256,1,6,964.91,259.09152148905076
256,1,7,926.947,269.7025827798137
256,1,8,1064.642,234.8207190773988
256,1,9,1123.35,222.5486268749722
256,1,10,956.781,261.29281413405994
256,1,11,1055.199,236.92213506646615
256,1,12,952.934,262.3476547169059
256,1,13,988.973,252.7874876260525
256,1,14,981.806,254.63278896238157
256,1,15,1010.459,247.41231460158204
256,1,16,1015.414,246.20499618874663
256,1,17,1011.8,247.08440403241747
256,1,18,1026.164,243.62577521721676
256,1,19,723.088,345.7393844179408
256,10,0,8844.114,28.267387779035865
256,10,1,8576.197,29.1504497856101
256,10,2,7866.72,31.779445563080927
256,10,3,7162.237,34.90529564994847
256,10,4,7103.426,35.19428512382616
256,10,5,6892.414,36.27176196902855
256,10,6,6548.758,38.17517764437165
256,10,7,6881.96,36.326860371173325
256,10,8,6319.182,39.562082560685866
256,10,9,6098.272,40.99521962942945
256,10,10,5874.348,42.55791451238504
256,10,11,5497.796,45.472767632702265
256,10,12,5449.277,45.877645786771346
256,10,13,5678.201,44.02802930012516
256,10,14,5529.357,45.21321376065969
256,10,15,5057.129,49.435163706522026
256,10,16,5252.158,47.59948196531788
256,10,17,4930.441,50.70540343145775
256,10,18,5096.192,49.05623649972371
256,10,19,5126.971,48.76173475527753
