ratio,timeout_ms,rounds,loss_pct,mean_sent_count,mean_completed,mean_achieved_ratio,timeout_rate,mean_wait_ms,p50_wait_ms,p99_wait_ms,mean_poll_count,p99_poll_count
0.90,1,250,1.00,253.544,165.624,0.646969,1.000000,1.001132,1.001120,1.002281,611.244,637
0.90,5,250,1.00,253.240,231.000,0.902344,0.000000,1.376082,1.374572,1.379204,868.132,889
0.90,20,250,1.00,253.628,231.000,0.902344,0.000000,1.381046,1.379632,1.385382,869.844,911
0.90,100,250,1.00,253.244,231.000,0.902344,0.000000,1.376103,1.375068,1.379090,863.220,905
0.95,1,250,1.00,253.500,165.660,0.647109,1.000000,1.001037,1.001056,1.002070,630.916,665
0.95,5,250,1.00,253.428,244.000,0.953125,0.000000,1.452596,1.451228,1.457643,917.368,954
0.95,20,250,1.00,253.352,244.000,0.953125,0.000000,1.451491,1.450129,1.455343,913.920,939
0.95,100,250,1.00,253.372,244.000,0.953125,0.000000,1.451679,1.449963,1.454974,926.844,954
0.99,1,250,1.00,253.440,165.668,0.647141,1.000000,1.000978,1.000958,1.002116,625.564,646
0.99,5,250,1.00,253.388,253.040,0.988437,0.444000,3.060323,1.510835,5.001644,2048.964,3535
0.99,20,250,1.00,253.540,253.136,0.988812,0.464000,10.089867,1.510353,20.001659,6907.032,14183
0.99,100,250,1.00,253.372,253.044,0.988453,0.488000,49.572920,1.514648,100.000601,85219.780,222270
1.00,1,250,1.00,253.540,165.488,0.646437,1.000000,1.001067,1.001012,1.002231,627.336,648
1.00,5,250,1.00,253.348,253.348,0.989641,0.940000,4.792105,5.000906,5.001662,3264.656,3517
1.00,20,250,1.00,253.384,253.384,0.989781,0.940000,18.892103,20.000878,20.001689,13052.420,14275
1.00,100,250,1.00,253.380,253.380,0.989766,0.924000,92.515853,100.000296,100.000552,201393.400,225874
