batch_n,trial,total_us,per_wr_ns
1,0,16.205,16205.0
1,1,1.524,1524.0
1,2,1.29,1290.0
1,3,1.28,1280.0
1,4,1.295,1295.0
1,5,1.281,1281.0
1,6,1.279,1279.0
1,7,1.271,1271.0
1,8,1.28,1280.0
1,9,1.283,1283.0
1,10,1.268,1268.0
1,11,1.277,1277.0
1,12,1.258,1258.0
1,13,1.284,1284.0
1,14,1.261,1261.0
1,15,1.245,1245.0
1,16,1.278,1278.0
1,17,1.271,1271.0
1,18,1.231,1231.0
1,19,1.251,1251.0
1,20,1.249,1249.0
1,21,1.289,1289.0
1,22,1.265,1265.0
1,23,1.253,1253.0
1,24,1.447,1447.0
1,25,1.272,1272.0
1,26,1.286,1286.0
1,27,1.275,1275.0
1,28,1.291,1291.0
1,29,1.258,1258.0
1,30,1.277,1277.0
1,31,1.276,1276.0
1,32,1.275,1275.0
1,33,1.278,1278.0
1,34,1.277,1277.0
1,35,1.256,1256.0
1,36,1.247,1247.0
1,37,1.247,1247.0
1,38,1.24,1240.0
1,39,1.281,1281.0
1,40,1.268,1268.0
1,41,1.261,1261.0
1,42,1.26,1260.0
1,43,1.269,1269.0
1,44,1.262,1262.0
1,45,1.265,1265.0
1,46,1.271,1271.0
1,47,1.299,1299.0
1,48,1.307,1307.0
1,49,1.281,1281.0
1,50,1.286,1286.0
1,51,1.271,1271.0
1,52,1.268,1268.0
1,53,1.268,1268.0
1,54,1.265,1265.0
1,55,1.272,1272.0
1,56,1.262,1262.0
1,57,1.27,1270.0
1,58,1.298,1298.0
1,59,1.263,1263.0
1,60,1.275,1275.0
1,61,1.283,1283.0
1,62,1.272,1272.0
1,63,1.275,1275.0
1,64,1.314,1314.0
1,65,1.303,1303.0
1,66,1.276,1276.0
1,67,1.281,1281.0
1,68,1.277,1277.0
1,69,1.284,1284.0
1,70,1.281,1281.0
1,71,1.281,1281.0
1,72,1.27,1270.0
1,73,1.289,1289.0
1,74,1.281,1281.0
1,75,1.277,1277.0
1,76,1.322,1322.0
1,77,1.326,1326.0
1,78,1.257,1257.0
1,79,1.265,1265.0
1,80,1.268,1268.0
1,81,1.26,1260.0
1,82,1.284,1284.0
1,83,1.264,1264.0
1,84,1.282,1282.0
1,85,1.267,1267.0
1,86,1.273,1273.0
1,87,1.249,1249.0
1,88,1.431,1431.0
1,89,1.26,1260.0
1,90,1.271,1271.0
1,91,1.265,1265.0
1,92,1.321,1321.0
1,93,1.332,1332.0
1,94,1.295,1295.0
1,95,1.283,1283.0
1,96,1.296,1296.0
1,97,1.299,1299.0
1,98,1.295,1295.0
1,99,1.281,1281.0
10,0,4.463,446.3
10,1,1.422,142.2
10,2,1.381,138.1
10,3,1.37,137.0
10,4,1.361,136.1
10,5,1.387,138.7
10,6,1.368,136.8
10,7,1.383,138.3
10,8,1.436,143.6
10,9,1.408,140.8
10,10,1.391,139.1
10,11,1.392,139.2
10,12,1.393,139.3
10,13,1.392,139.2
10,14,1.39,139.0
10,15,1.453,145.3
10,16,1.389,138.9
10,17,1.393,139.3
10,18,1.378,137.8
10,19,1.354,135.4
10,20,1.363,136.3
10,21,1.35,135.0
10,22,1.36,136.0
10,23,1.353,135.3
10,24,1.35,135.0
10,25,1.344,134.4
10,26,1.375,137.5
10,27,5.517,551.7
10,28,1.446,144.6
10,29,1.395,139.5
10,30,1.381,138.1
10,31,1.382,138.2
10,32,1.376,137.6
10,33,1.396,139.6
10,34,1.384,138.4
10,35,1.377,137.7
10,36,1.397,139.7
10,37,1.389,138.9
10,38,1.399,139.9
10,39,1.394,139.4
10,40,1.39,139.0
10,41,1.388,138.8
10,42,1.391,139.1
10,43,1.376,137.6
10,44,1.398,139.8
10,45,1.386,138.6
10,46,1.399,139.9
10,47,1.396,139.6
10,48,1.419,141.9
10,49,1.38,138.0
10,50,1.381,138.1
10,51,1.379,137.9
10,52,1.382,138.2
10,53,1.38,138.0
10,54,1.389,138.9
10,55,1.373,137.3
10,56,1.38,138.0
10,57,1.386,138.6
10,58,1.381,138.1
10,59,1.389,138.9
10,60,1.38,138.0
10,61,1.379,137.9
10,62,1.372,137.2
10,63,1.387,138.7
10,64,1.383,138.3
10,65,1.372,137.2
10,66,1.386,138.6
10,67,1.389,138.9
10,68,1.382,138.2
10,69,1.38,138.0
10,70,1.383,138.3
10,71,1.374,137.4
10,72,1.396,139.6
10,73,1.372,137.2
10,74,1.384,138.4
10,75,1.379,137.9
10,76,1.375,137.5
10,77,1.414,141.4
10,78,4.264,426.4
10,79,1.423,142.3
10,80,1.385,138.5
10,81,1.379,137.9
10,82,1.372,137.2
10,83,1.381,138.1
10,84,1.381,138.1
10,85,1.382,138.2
10,86,1.377,137.7
10,87,1.386,138.6
10,88,1.379,137.9
10,89,1.372,137.2
10,90,1.378,137.8
10,91,1.381,138.1
10,92,1.365,136.5
10,93,1.392,139.2
10,94,1.376,137.6
10,95,1.377,137.7
10,96,1.398,139.8
10,97,1.373,137.3
10,98,1.384,138.4
10,99,1.379,137.9
100,0,3.1,31.0
100,1,2.412,24.12
100,2,2.342,23.42
100,3,5.173,51.73
100,4,2.388,23.88
100,5,2.327,23.27
100,6,2.328,23.28
100,7,2.34,23.4
100,8,4.643,46.43
100,9,2.368,23.68
100,10,2.326,23.26
100,11,2.323,23.23
100,12,2.545,25.45
100,13,4.587,45.87
100,14,2.397,23.97
100,15,2.332,23.32
100,16,2.347,23.47
100,17,2.42,24.2
100,18,4.54,45.4
100,19,2.384,23.84
100,20,2.347,23.47
100,21,2.34,23.4
100,22,2.384,23.84
100,23,4.629,46.29
100,24,2.404,24.04
100,25,2.319,23.19
100,26,2.324,23.24
100,27,2.311,23.11
100,28,4.604,46.04
100,29,2.386,23.86
100,30,2.325,23.25
100,31,2.314,23.14
100,32,2.448,24.48
100,33,4.764,47.64
100,34,2.334,23.34
100,35,2.346,23.46
100,36,2.317,23.17
100,37,2.311,23.11
100,38,4.737,47.37
100,39,2.38,23.8
100,40,2.326,23.26
100,41,2.36,23.6
100,42,2.348,23.48
100,43,4.659,46.59
100,44,2.356,23.56
100,45,2.35,23.5
100,46,2.335,23.35
100,47,2.36,23.6
100,48,2.318,23.18
100,49,4.623,46.23
100,50,2.407,24.07
100,51,2.343,23.43
100,52,2.347,23.47
100,53,2.352,23.52
100,54,4.523,45.23
100,55,2.354,23.54
100,56,2.3,23.0
100,57,2.317,23.17
100,58,2.331,23.31
100,59,4.69,46.9
100,60,2.377,23.77
100,61,2.348,23.48
100,62,2.326,23.26
100,63,2.388,23.88
100,64,6.619,66.19
100,65,2.378,23.78
100,66,2.333,23.33
100,67,2.343,23.43
100,68,2.375,23.75
100,69,4.706,47.06
100,70,2.389,23.89
100,71,2.316,23.16
100,72,2.339,23.39
100,73,2.347,23.47
100,74,4.59,45.9
100,75,2.345,23.45
100,76,2.33,23.3
100,77,2.389,23.89
100,78,2.357,23.57
100,79,4.637,46.37
100,80,2.366,23.66
100,81,2.318,23.18
100,82,2.354,23.54
100,83,2.346,23.46
100,84,4.54,45.4
100,85,2.392,23.92
100,86,2.344,23.44
100,87,2.338,23.38
100,88,2.354,23.54
100,89,2.372,23.72
100,90,4.582,45.82
100,91,2.523,25.23
100,92,2.372,23.72
100,93,2.335,23.35
100,94,2.364,23.64
100,95,4.574,45.74
100,96,2.37,23.7
100,97,2.348,23.48
100,98,2.39,23.9
100,99,2.468,24.68
1000,0,16.735,16.735
1000,1,16.081,16.081
1000,2,15.634,15.634
1000,3,16.642,16.642
1000,4,18.135,18.135
