transport,drop,n,iter_ms_med,iter_ms_std,iter_ms_min,iter_ms_max,final_loss,final_loss_std
clear_t1,0.0,3,6644.8495,122.29479087536836,6504.669,6729.7075,1.4703067833333334,0.0723775030238391
clear_t1,0.01,3,6723.1900000000005,20.204303124581838,6701.1810000000005,6740.8965,1.4979541333333335,0.04729816543018165
clear_t1,0.05,3,6707.178333333333,62.24844796124111,6635.7895,6750.125,1.5666752333333334,0.10588741533905628
phase4,0.0,6,6512.920833333334,155.80715156232932,6211.38,6651.0085,1.5977358583333334,0.17952761452060634
phase4,0.01,6,6561.8699166666665,58.00402457710738,6500.612999999999,6651.963,1.5995929333333332,0.10683215080016256
phase4,0.05,6,6479.76875,99.38520585668171,6386.522,6619.585,1.513171875,0.15024397805997003
rc_baseline,0.0,3,6523.075666666667,35.54023665626497,6482.0975,6545.4884999999995,1.4703067833333334,0.0723775030238391
rc_baseline,0.01,3,6529.7645,179.71829277163147,6424.1335,6737.273999999999,1.4703067833333334,0.0723775030238391
rc_baseline,0.05,3,6387.000666666667,105.40068540376471,6303.6065,6505.466,1.4703067833333334,0.0723775030238391
